model,threshold,PR_AUC,ROC_AUC,precision,recall,f1,tn,fp,fn,tp,mean_cv_PR_AUC,std_cv_PR_AUC
RandomForest_balanced,0.05,0.00966858305466596,0.7732020347911048,0.007407407407407408,0.043478260869565216,0.012658227848101266,24430,134,22,1,0.07934036324124148,0.051580287089385696
LogReg_balanced,0.95,0.026689085675279944,0.8455480979588368,0.012587412587412588,0.391304347826087,0.024390243902439025,23858,706,14,9,0.042550826010658425,0.02303665582630549
HistGB,0.39999999999999997,0.006192739657600454,0.27514195393754026,0.011695906432748537,0.08695652173913043,0.020618556701030927,24395,169,21,2,0.016268848895061565,0.016762221775169273
